index,reference,zero_shot_translation,single_agent_translation,improved_translation,bleu_zero_shot,bleu_single_agent,bleu_improved,meteor_zero_shot,meteor_single_agent,meteor_improved,bleurt_zero_shot,bleurt_single_agent,bleurt_improved,comet_zero_shot,comet_single_agent,comet_improved
202,"At the finale, Dr. Friederike Schuler will also give a lecture on wall-based art in the service of the community. With the aid of numerous example images, she will present the special features of mural paintings from the Weimar Republic and ask for connections between this art genre in the Federal Republic with a focus on North Rhine-Westphalia from the 1950s to the 1970s.","At the finissage, Dr. Friederike Schuler will also give a lecture on wall-bound art in the service of the community. Using numerous pictorial examples, she will present the special features of mural painting from the Weimar Republic and inquire into the connecting lines to this art genre in the Federal Republic of Germany, with a focus on North Rhine-Westphalia (NRW) from the 1950s to the 1970s.","At the closing reception, Dr. Friederike Schuler will also give a lecture on wall-bound art in the service of the community. Using numerous pictorial examples, she will present the special features of mural painting from the Weimar Republic and explore the connections to this art genre in the Federal Republic of Germany, with a focus on North Rhine-Westphalia from the 1950s to the 1970s.","At the finissage, Dr. Friederike Schuler will also give a lecture on wall-related art in the service of the community. Using numerous pictorial examples, she will present the special features of mural painting from the Weimar Republic and inquire into the connecting lines to this art genre in the Federal Republic of Germany, with a focus on North Rhine-Westphalia (NRW) from the 1950s to the 1970s.",0.5864,0.6502,0.5864,0.844,0.8488,0.844,0.7512,0.769,0.7547,0.831,0.8571,0.8307
214,"""He was an important advisor in our party into his old age, and his wisdom will be missed.""","Until a ripe old age, he was an important advisor in our party, whose wisdom will be missed.","Even in his advanced age, he remained a key counselor in our party, whose wisdom we will deeply miss.","Until a ripe old age, he was an important advisor in our party, and his wisdom will be missed.",0.4863,0.0626,0.6293,0.6049,0.2356,0.7138,0.6966,0.7431,0.7361,0.846,0.8491,0.8601
218,"According to a report by the Deutsche Presse-Agentur (dpa), Modrow had taken a ""thoroughly critical"" view of the new state. German unity had been achieved too quickly, the GDR had gone down too unconditionally, and it had been condemned too one-sidedly as an ""unjust state,"" Modrow stated in many interviews, according to the dpa.","According to a report by the German Press Agency (dpa), Modrow viewed the new state ""quite critically."" According to dpa, Modrow criticized in many interviews that German reunification had been carried out too quickly, the GDR had collapsed too unconditionally, and it had been condemned too unilaterally as an ""unjust state.""","According to a report by the German Press Agency (dpa), Modrow viewed the new state ""quite critically,"" arguing in many interviews that German reunification had been carried out too quickly, the GDR had been absorbed too unconditionally, and it had been condemned too unilaterally as an ""unjust state.""","According to a report by the German Press Agency (dpa), he viewed the new state ""quite critically."" Modrow stated in numerous interviews that German reunification had been carried out too quickly, the GDR had collapsed too unconditionally, and it had been condemned too unilaterally as an ""unjust state,"" according to dpa.",0.4206,0.413,0.4524,0.6211,0.559,0.6285,0.7369,0.7236,0.7268,0.82,0.7953,0.8197
219,What happened at night,What happened during the night.,What happened overnight.,What happened in the night.,0.0955,0.1699,0.0955,0.4573,0.4808,0.4573,0.8347,0.8964,0.8123,0.929,0.8458,0.9139
221,"Kyiv - The latest wave of Russian missile strikes is again forcing emergency repairs to Ukraine's power grid. But Ukraine is also attacking Russian positions. Several thermal and hydroelectric power plants have been damaged, the head of the Ukrenergo power company, Volodymyr Kudrytskyi, said on Ukrainian television Friday evening. He disclosed that the power supply was particularly bad in the Kharkiv region. Due to the instability in the Ukrainian power grid, a reactor unit had to be shut down at the Khmelnytskyi Nuclear Power Plant, and production was cut at the Rivne and South Ukraine Nuclear Power Plants.","Kyiv - The latest wave of Russian missile attacks is once again forcing emergency repairs to the Ukrainian energy grid. But Ukraine is also attacking Russian positions. Several thermal and hydroelectric power plants have been damaged, said the head of the energy supplier Ukrenerho, Volodymyr Kudrytskyi, on Ukrainian television on Friday evening. The electricity supply in the Kharkiv region is particularly bad. Due to the instability in the Ukrainian power grid, a reactor unit had to be shut down at the Khmelnytskyi nuclear power plant, and production was reduced at the Rivne and South Ukraine nuclear power plants.","Kyiv - The latest wave of Russian missile attacks is once again forcing emergency repairs to the Ukrainian energy grid. Meanwhile, Ukraine is also conducting attacks on Russian positions. Several thermal and hydropower plants have been damaged, said the head of the energy supplier Ukrenerho, Volodymyr Kudrytskyi, on Ukrainian television on Friday evening. The situation in the Kharkiv region is especially severe. Due to the instability in the Ukrainian power grid, a reactor unit had to be shut down at the Khmelnytskyi Nuclear Power Plant, and production was reduced at the Rivne and South Ukraine Nuclear Power Plants.","Kyiv - The latest wave of Russian missile attacks is once again forcing emergency repairs to the Ukrainian energy grid. But Ukraine is also attacking Russian positions. Several thermal and hydroelectric power plants have been damaged, the head of the energy supplier Ukrenerho, Volodymyr Kudrytskyi, said on Ukrainian television on Friday evening. The electricity supply in the Kharkiv region is particularly poor. Due to the instability in the Ukrainian power grid, a reactor unit had to be shut down at the Khmelnytskyi nuclear power plant, and production was reduced at the Rivne and South Ukraine nuclear power plants.",0.628,0.6139,0.6623,0.8494,0.7974,0.8514,0.7998,0.7683,0.8044,0.8648,0.8615,0.8649
224,"February 24th will mark one year of the war. U.S. President Joe Biden announced a visit to key Ukraine supporter Poland shortly before the anniversary. Meanwhile, the threat of Russian missile strikes continued into Saturday night. An air alert was sounded in the capital Kyiv late Friday night for the fifth time that day. ""There is a threat of a drone attack,"" the military administration of the Kyiv region announced. Iranian-made combat drones were also spotted and shot down over the Mykolaiv and Odessa regions in the south.","On February 24th, the war will have been raging for a year. US President Joe Biden announced a visit to Poland, an important supporter of Ukraine, shortly before the anniversary. Meanwhile, the danger from Russian missile attacks continued into the night leading to Saturday. In the capital Kyiv, air raid sirens were triggered for the fifth time that day late Friday evening. ""There is a threat of a drone attack,"" announced the military administration of the Kyiv region. Iranian-made combat drones were also sighted and shot down over the Mykolaiv and Odessa regions in the south.","On February 24th, the war will mark its first anniversary. US President Joe Biden announced a visit to Poland, a key supporter of Ukraine, shortly before the anniversary. Meanwhile, the threat of Russian missile attacks persisted into Friday night. In Kyiv, the capital, air raid sirens sounded for the fifth time that day late Friday evening. ""A drone attack is imminent,"" announced the military administration of the Kyiv region. Iranian-made combat drones were also sighted and shot down over the Mykolaiv and Odesa regions in the south.","On February 24th, the war will mark its one-year anniversary. US President Joe Biden announced a visit to Poland, a key supporter of Ukraine, shortly before the anniversary. Meanwhile, the threat of Russian missile attacks persisted into the night leading up to Saturday. In Kyiv, the capital, air raid sirens sounded for the fifth time that day late Friday evening. ""There is a threat of a drone attack,"" the Kyiv regional military administration announced. Iranian-made combat drones were also sighted and shot down over the Mykolaiv and Odesa regions in the south.",0.5,0.4579,0.4946,0.723,0.6729,0.7291,0.7187,0.7189,0.7538,0.8433,0.8519,0.856
227,Renovation backlog of 80 billion euros,Deferred maintenance totaling 80 billion euros,Eighty billion euros in deferred maintenance.,Deferred maintenance of 80 billion euros,0.2021,0.0699,0.5081,0.4907,0.3125,0.6615,0.5293,0.3293,0.3967,0.8389,0.7497,0.8193
236,"As a result, the first defense projects have already been canceled, and further projects are threatened with the same, as reported by ""Welt am Sonntag."" However, it is not yet possible to say which specific investments will be cancelled. ""There is no need to assign specific procurement measures to a possible savings requirement at this stage,"" a response from the German government to a question from Bundestag member Ingo Gädechens (CDU) stated.","As a result, initial armaments projects have already been cancelled, and the same fate threatens further projects, as reported by ""Welt am Sonntag"". However, it is not yet possible to say which specific investments would be cut. ""There is no necessity to assign concrete procurement measures to a possible need for savings at this point in time,"" reads the Federal Government's response to an inquiry from Member of Parliament Ingo Gädechens (CDU).","As a result, initial armament projects have already been cancelled, and further projects are threatened with the same fate, as reported in the German newspaper ""Welt am Sonntag."" However, it is not yet possible to say which specific investments would be cut. ""There is no necessity at this point to assign specific procurement measures to a possible need for savings,"" reads the Federal Government's response to an inquiry from Member of Parliament Ingo Gädechens (CDU).","Initial armaments projects have therefore already been cancelled, and further projects are threatened with the same fate, as ""Welt am Sonntag"" reports. However, it is not yet possible to say exactly which investments would be cut. ""There is no need to assign specific procurement measures to a potential savings requirement at this time,"" the Federal Government said in response to an inquiry from Member of Parliament Ingo Gädechens (CDU).",0.4266,0.5243,0.4558,0.6171,0.718,0.6414,0.728,0.7483,0.7133,0.8168,0.8349,0.823
242,Many Stuttgart residents heeded the call of Feuerbach's DITIB mosque community on Friday evening,"On Friday evening, many Stuttgart residents followed the call of the Feuerbach Ditib Mosque community.","On Friday evening, many Stuttgart residents responded to the call from the Feuerbach Ditib Moschee community.","On Friday evening, many Stuttgart residents responded to the call of the Feuerbach Ditib Mosque community.",0.0891,0.0425,0.0837,0.6649,0.4946,0.6602,0.7102,0.7193,0.724,0.8506,0.8346,0.8571
247,There is great solidarity of Muslims in Germany with the earthquake victims in the Turkish-Syrian border region. The fundraising campaign of the Turkish-Islamic Union for Religious Affairs (DITIB) has already raised several million euros.,The solidarity of Muslims in Germany with the earthquake victims in the Turkish-Syrian border region is great. The donation campaign of the German Islamic Association Turkish-Islamic Union (Ditib) has already raised several million euros.,"The solidarity of Muslims in Germany with the earthquake victims in the Turkish-Syrian border region is great; the donation campaign of the German Islamic Association Turkish-Islamic Union for Religious Affairs (Ditib), a German Islamic organization, has already raised several million euros.","The solidarity of Muslims in Germany with the earthquake victims in the Turkish-Syrian border region is strong, with the donation campaign by the German Islamic Association Turkish-Islamic Union (Ditib) already raising several million euros.",0.6087,0.5398,0.4568,0.7898,0.832,0.6946,0.7542,0.7691,0.7459,0.8671,0.8461,0.8541
250,"""After eating, you should rest or take a thousand steps"" .... The older ones know the saying, the younger ones just put it into practice. Either way, in the years of the pandemic, the good old digestive walk has experienced an unexpected renaissance. For those who, thanks to their home office, are not sitting in the middle of a stone desert, but rather just a stone's throw away from fields, forests and meadows, now use their lunch break either after a quick snack in front of the screen or as a substitute for a walk in the fresh air. At least, that's the impression one might get around Lake Egglburg, where it's not just dog owners who are out and about between noon and 2 p.m.","""After eating, you should rest or walk a thousand steps"".... The older generation knows the saying, the younger generation simply puts it into practice. Either way, in the years of the pandemic, the good old digestive walk has experienced an unexpected renaissance. Because those who, thanks to home office, are not sitting in the middle of a concrete jungle, but rather just a stone's throw away from field, forest and meadow, now use their lunch break either after a quick snack in front of the screen or as a substitute for a walk in the fresh air. At least, that's the impression one could get around Lake Egglburg, where between 12 and 2 p.m. it's not just dog owners who are out and about.","""After eating, you should rest or walk a thousand steps."" The older generation knows the saying, but the younger generation simply puts it into practice. Either way, in the years of the pandemic, the good old digestive walk has experienced an unexpected renaissance. Because those who, thanks to home office, are not sitting in the middle of an urban sprawl but rather just a stone's throw away from field, forest, and meadow, now use their lunch break either after a quick snack in front of the screen or as a substitute for a walk in the fresh air. At least, that's the impression one might get around Lake Egglburg, where between 12 and 2 p.m. many people besides dog owners can be found.","""After eating, you should rest or walk a thousand steps""... The older generation knows the saying, while the younger generation simply puts it into practice. One way or another, the good old digestive walk has experienced an unexpected resurgence during the pandemic. After all, those working from home who are not stuck in a concrete jungle, but are instead just a stone's throw from fields, forests, and meadows, are now using their lunch breaks either after a quick snack in front of the screen or, alternatively, for a walk in the fresh air. At least, that's the impression one gets around Lake Egglburg, where between 12 and 2 p.m. you’ll find more than just dog owners.",0.761,0.6763,0.436,0.881,0.8229,0.6757,0.7336,0.6837,0.6648,0.8233,0.8252,0.8154
251,"One reason, of course, could be that modern people, in the course of an optimal use of time slots, can combine the healthy supply of fresh air with other things. After all, why not take a short walk through nature to hear news about the neighborhood from a neighbor you haven't seen in a long time? Or meet the friend whom you have never made it to the cinema with in the evening, not even to the Old Cinema? This is also a good way to combine work and private life - who says that an appointment with a tax advisor, lawyer, or investment advisor can't take place outdoors? Provided there are no eavesdroppers in the vicinity, of course.","One reason could of course also be that modern humans, in the course of optimally using their time slots, can combine the health-promoting supply of fresh air with other things. For why not take the opportunity of a short walk through nature to hear news from the long-unseen neighbor about the settlement? Or meet the friend with whom you never manage to go to the movies in the evening, not even to the Old Cinema? Profession and private life could also be combined in this way - who says that the appointment with the tax advisor, lawyer or investment advisor cannot take place outdoors? Provided there are no eavesdroppers nearby, of course.","Of course, one reason could be that modern humans, seeking to optimize their time, can combine fresh air and health benefits with other activities. Why not use a short walk in nature to catch up on neighborhood news with a long-unseen neighbor? Or meet a friend for a chat, since evenings out—even to the local cinema—are impossible? Work and personal life can also be combined this way; who says a meeting with a tax advisor, lawyer, or investment advisor can’t happen outdoors, provided there are no eavesdroppers nearby, of course?","One reason could of course also be that modern humans, seeking to optimize their schedules, can combine their need for health-promoting fresh air with other activities. Why not use a short walk in nature to catch up on news from a long-unseen neighbor? Or meet a friend you never have time to see at the movies, not even at the Old Cinema? You could also combine work and personal life this way – who says you can't meet your tax advisor, lawyer, or investment advisor outdoors, provided there are no eavesdroppers nearby, of course?",0.4298,0.167,0.1855,0.6975,0.4113,0.4626,0.6769,0.6914,0.6935,0.8102,0.8025,0.8125
262,"The disclosure to Congress is probably more sensitive for Trump: There, the circle of those authorized to access the information is somewhat larger and, under certain conditions, individual details could be published in the course of the committee's investigation. Furthermore, confidential information from Congress is also repeatedly leaked to the outside.","Handing it over to Congress is likely more delicate for Trump: There, the circle of those authorized to access the documents is somewhat larger, and under certain conditions, individual details could be published in the course of the committee's investigation. In addition, confidential information repeatedly leaks out of Parliament.","Releasing it to Congress is likely more delicate for Trump: There, the circle of those authorized to access the documents is somewhat larger, and under certain conditions, individual details could be published in the course of the committee's investigation. In addition, confidential information repeatedly leaks from parliament.","Handing it over to Congress is likely more delicate for Trump: There, the circle of those authorized to access the documents is somewhat larger, and under certain conditions, individual details could be published during the committee's investigation. Moreover, confidential information repeatedly leaks from Parliament.",0.5736,0.5763,0.4702,0.6163,0.6644,0.583,0.749,0.7239,0.7309,0.8688,0.8715,0.8635
264,Cabaret at the Bastion: Life plays between birth and death,Cabaret in the bastion: Life plays out between birth and death.,Cabaret in the Bastion: Life unfolds between birth and death.,Cabaret in the bastion: Life unfolds between birth and death.,0.2978,0.4367,0.2709,0.7712,0.6724,0.6724,0.7675,0.7996,0.7699,0.8297,0.8502,0.815
276,"And he breaks it down to the most important question that many avoid: What is really important? He does all this with a huge wink, in an unagitated and very ironic way. And so we are not only very entertained, but can also learn something in the process.","And he breaks it down to the most important question that many people procrastinate on: What is truly important? All of this with a huge wink, calmly and very ironically. And so we are not only well entertained, but can also learn something in the process.","He boils it down to the most important question that many put off: What is truly important? All of this with a huge wink, calmly and very ironically, so we are not only well entertained but also learn something in the process.","And he breaks it down to the most important question that many put off addressing: What is truly important? All of this with a huge wink, calmly, and very ironically. And so we are not only well entertained but can also learn something in the process.",0.6141,0.4462,0.5818,0.7853,0.6833,0.7639,0.7663,0.7613,0.8085,0.8636,0.85,0.8721
278,My cell phone rings with an unknown number. I make an assumption. This honest woman has found my wallet.,My phone is ringing with an unknown number. I answer. This woman is the honest finder of her wallet.,"My phone rings with an unknown number, and I answer; this woman is the honest person who found her wallet.","My phone is ringing with an unknown number, and when I answer, it's the honest woman who found her wallet.",0.2861,0.2576,0.1473,0.4984,0.4465,0.4182,0.6093,0.6825,0.6774,0.7851,0.8322,0.8019
280,"Bundestag member Pfeiffer describes climate protection as a substitute religion. It may even be true, because I love this planet and its civilization more than some abstract god","MP Pfeiffer describes climate protection as a substitute religion. May even be true, because I love this planet and its civilization more than any abstract god.","Member of Parliament Pfeiffer describes climate protection as a substitute religion. That might even be true, because I love this planet and its civilization more than any abstract god.","MP Pfeiffer describes climate protection as a substitute religion. That may even be true, because I love this planet and its civilization more than any abstract god.",0.7218,0.6736,0.7564,0.8264,0.8164,0.8235,0.7886,0.8064,0.8037,0.9054,0.9105,0.909
283,It's a good thing that the city's politicians have been aware of the advantages for decades and have never questioned them.,It's good that city politics have recognized the advantages for decades and never questioned them.,It's good that local politics have recognized the advantages for decades and never questioned them.,It's good that city politicians have recognized the advantages for decades and never questioned them.,0.2791,0.2743,0.2921,0.5515,0.5515,0.5875,0.8268,0.8243,0.8332,0.8722,0.8584,0.9036
291,"Fellow party member Annegret Kramp-Karrenbauer, eleventh, as well as the Ministry of Education under Anja Karliczek, who is also a CDU minister.","Party colleague Annegret Kramp-Karrenbauer as well, and the Ministry of Education under Anja Karliczek, who is also a CDU minister.","Party colleague Annegret Kramp-Karrenbauer, as well as the Ministry of Education under Anja Karliczek, who is also a CDU (Christian Democratic Union) minister.","Party colleague Annegret Kramp-Karrenbauer, as well as the Ministry of Education under Anja Karliczek, who is also a CDU minister.",0.611,0.6531,0.7624,0.7282,0.8557,0.8698,0.6565,0.6784,0.669,0.7794,0.7748,0.7847
295,"I haven't written anything for a long time, the search for a suitable job has used up all my resources.","Haven't written in a while, the search for a suitable job has been taking up all my resources for a long time.",I haven't written in a while; the search for a suitable job has been taking up all my resources.,I haven't written in a while; the search for a suitable job has been taking up all my resources for a long time.,0.4976,0.5206,0.5037,0.7048,0.7466,0.7552,0.7337,0.8022,0.8045,0.8621,0.8875,0.8897
297,"If the city introduces these cycling routes in the secondary network, he will be against it again. Can the man make up his mind?","If the city sets up these cycling routes on the secondary network, he's against it again. Can the man ever make up his mind?","If the city establishes these cycling routes on the secondary network, he opposes them again. Can he ever make a decision?","If the city establishes these cycling routes on the secondary network, he's against it again. Can the man ever make up his mind?",0.5441,0.26,0.5654,0.7845,0.4575,0.7877,0.7869,0.7109,0.7877,0.8715,0.844,0.8832
299,"After a serious accident or other traumatic events, those affected are often in shock. How can you help in the event of a psychological shock?","After a serious accident or other traumatic events, those affected are often in shock. How do you help with psychological shock?","After a serious accident or other traumatic events, those affected are often in shock. How can you help someone experiencing psychological shock?","After a serious accident or other traumatic events, those affected are often in a state of shock. How do you help someone experiencing psychological shock?",0.6589,0.7509,0.6066,0.753,0.7988,0.8244,0.8451,0.8612,0.8324,0.9316,0.9339,0.9281
304,"Tomorrow I can finally hand in my computer for reconditioning and then the prospect that I can work again sometime in June is quite good. Hey, at least that's promising!","Tomorrow I can finally hand in my computer for repair and then the outlook is quite good that I can work again sometime in June. Hey, at least there's a perspective!","Tomorrow I can finally take my computer in for repair, and the outlook is quite good that I can work again sometime in June. Hey, at least there's a perspective!","Tomorrow I can finally hand in my computer for repair, and the outlook is quite good that I can work again sometime in June. Hey, at least there's a light at the end of the tunnel!",0.5987,0.4367,0.4851,0.8272,0.7437,0.7636,0.7458,0.7473,0.7258,0.8826,0.8881,0.8499
306,"Single use or reusable? Environmental Action Germany recommends reusable, and Lidl opposes a single-use system. But it also depends on other factors, such as short transport distances.","Single-use or reusable? The Environmental Action Germany recommends reusable, Lidl is countering with a single-use system. However, other factors also play a role, such as short transport routes.","Single-use or reusable? German Environmental Aid recommends reusable options, but Lidl is instead using a single-use system; however, other factors, such as short transport routes, also play a role.","Single-use or reusable? Environmental Action Germany recommends reusable options, while Lidl is implementing a single-use system. However, other factors, such as short transport routes, are also important.",0.3693,0.2569,0.4553,0.5946,0.5164,0.6216,0.7543,0.754,0.7603,0.8431,0.859,0.8679
309,"I am off again tomorrow, because no trailer lettering and also nothing very urgent to do. For once, a Friday that deserves the name!",Tomorrow I have another day off because there's no trailer lettering to do and not terribly much urgent stuff either. Finally a Friday that lives up to its name!,"Tomorrow, I have another day off because there's no trailer inscription to do and not terribly much urgent stuff either. Finally, a Friday that deserves the name!","Tomorrow I have another day off because there's no trailer lettering to do and not too much urgent stuff either. Finally, a Friday that lives up to its name!",0.0687,0.2777,0.1381,0.4426,0.5506,0.4673,0.7561,0.6982,0.7529,0.8005,0.8104,0.8102
311,"Dear Readers, Dear Followis, if so, how much does it cost? Are there any special conditions? If not, is such a variant still planned? Thank you very much!","Dear readers, dear followers, If yes, how much does it cost? Are there any special conditions? If not, is such a variant planned? Thank you all!","Dear readers and followers, if so, how much does it cost? Are there any special conditions? If not, is such a variant planned? Thank you all!","Dear readers and followers, if so, how much does it cost? Are there any special conditions? If not, is such a variant planned? Thank you all!",0.6299,0.7056,0.7056,0.8252,0.7904,0.7904,0.809,0.8289,0.8289,0.8805,0.8714,0.8714
316,"This was preceded by fierce political disputes, including over Willy Brandt's (SPD) general policy vis-à-vis the East.","This was preceded by fierce political disputes, including over Willy Brandt's (SPD) general Ostpolitik.","This followed fierce political disputes, including over Willy Brandt's (SPD) general Ostpolitik, a policy of engagement with Eastern Europe.","This was preceded by fierce political disputes, including those concerning Willy Brandt's (SPD) general Ostpolitik.",0.7668,0.5136,0.637,0.7783,0.633,0.7126,0.632,0.6632,0.668,0.8026,0.7703,0.809
317,"Am not such an elephant fan myself, but maybe it will find some fans here.","I'm not an elephant fan myself at all, but maybe it will find some fans here.","I'm not much of an elephant fan myself, but maybe some fans here will like it.","I'm not such an elephant fan myself at all, but maybe it will find some fans here.",0.6273,0.4123,0.6934,0.7885,0.6411,0.8537,0.8128,0.7051,0.8164,0.9264,0.8972,0.929
322,"I'd like to have an orange network card! What color is yours, or what color would you like?",I want an orange network card! What color is yours or what color do you want?,"I want an orange Netzwerkkarte! What color is yours, or what color would you like?","I want an orange network card! What color is yours, or what color do you want?",0.4481,0.5982,0.5895,0.6117,0.6764,0.6726,0.7816,0.7295,0.796,0.9216,0.8251,0.9272
323,Screening as a key measuring point of elapsed time.,The check-up as an essential benchmark of passing time.,The preventive medical examination as a key indicator of passing time.,The checkup is an important milestone in the passage of time.,0.0531,0.1109,0.0399,0.1667,0.4848,0.1087,0.5011,0.4273,0.587,0.6598,0.6944,0.6686
330,Seeing only the other in what is said? Seeing ourselves in them...,To see only the other in what is said? To have seen ourselves in them...,Is it only the other we see in what is said? Have we seen ourselves in them?,To see only the other in what is said? To see ourselves in them...,0.5635,0.3119,0.6026,0.9575,0.8387,0.9813,0.7517,0.7381,0.8186,0.8539,0.8061,0.8771
333,"""A brief history of the religion of anthropogenic climate change: Of the myth of eternal carbon dioxide, or how elegant theses become gospel when they risk failing in earthly practice.""","A short history of religion concerning anthropogenic climate change: From the myth of eternal carbon dioxide, or how elegant theses become gospels when they threaten to fail in earthly practice.",a short history of religion concerning anthropogenic climate change: from the myth of eternal CO2 to how elegant theories become dogma when faced with real-world failure.,"A brief history of religion in the age of anthropogenic climate change: from the myth of eternal carbon dioxide, or how elegant theses become gospel when they threaten to fail in earthly practice.",0.4965,0.1664,0.6354,0.7599,0.4288,0.8456,0.7686,0.7037,0.7585,0.8484,0.8292,0.8428
340,"So, according to the current planning situation, I will possibly be driving electric beginning in September. Let's see how many times the construction deadline changes before then....","So, according to the current planning status, I will, possibly, be driving electric from September. Let's see how often the construction date gets postponed until then....","So, according to the current schedule, I might be driving electric starting in September. We'll see how many times the construction date gets pushed back before then...","So, according to the current schedule, I will possibly be driving electric starting in September. We'll see how many times the construction date gets pushed back before then....",0.4229,0.3955,0.5257,0.6495,0.6861,0.8036,0.7373,0.79,0.8008,0.8408,0.8494,0.8606
348,"Talked to people a few days ago and this is exactly what they criticized ""the policy"" for.","A few days ago, I was talking to people who criticized ""politics"" for exactly this.","A few days ago, I spoke with people who criticized politics for precisely this issue.","A few days ago, I spoke with people who criticized ""politics"" for this very thing.",0.085,0.061,0.0768,0.4464,0.3407,0.3407,0.7032,0.6741,0.7076,0.8447,0.8285,0.8388
355,It is still questionable for Hertha to pull out a win against the last team in the table from Berlin.,"It's still questionable with Hertha, but a win is in the air against the bottom team from Berlin.","It's still questionable with Hertha, but a win seems likely against the last-placed team from Berlin.","It's still questionable with Hertha, but a win seems likely against the bottom team from Berlin.",0.089,0.0807,0.0807,0.4782,0.3912,0.3912,0.6249,0.6594,0.6694,0.7747,0.8047,0.7902
356,Now I have to tell a nice story real quickly.,I just have to share a nice story quickly.,Let me quickly tell you a nice story.,I need to share a nice little story.,0.1436,0.113,0.0534,0.6411,0.3221,0.3221,0.7422,0.7574,0.6841,0.8161,0.7956,0.7935
357,I would have never expected that you can receive a paper train ticket in the mail.,I absolutely didn't expect to receive a train ticket by mail in paper form anymore.,I absolutely didn't expect to receive a train ticket on paper by mail anymore.,I absolutely didn't expect to receive a paper train ticket by mail anymore.,0.0421,0.0411,0.2421,0.397,0.3623,0.4283,0.7253,0.7007,0.7523,0.8349,0.8295,0.8346
365,A #PopClip extension that lets you color code text in #Obsidian ... <URL>,A #PopClip extension that allows you to highlight text in #Obsidian with color ... <URL>,a #PopClip extension that allows you to highlight text with color in #Obsidian ... <URL>,A #PopClip extension for highlighting text with color in #Obsidian ... <URL>,0.461,0.4666,0.5198,0.8923,0.8923,0.667,0.7617,0.7634,0.7619,0.9215,0.9096,0.8922
366,"#FAV2023 After a #coaching session and lunch break, we will continue with the #digitallots","#FAV2023 After a #coaching session and lunch break, we continue with the #Digitallotsen (Digital Guides).","#FAV2023 After a #coaching session and lunch break, we continue with the #Digitallotsen.","#FAV2023 After a #coaching session and lunch break, we continue with the #Digitallotsen.",0.6255,0.7778,0.7778,0.8491,0.8613,0.8613,0.6968,0.7634,0.7634,0.7906,0.8205,0.8205
368,"So far, #democracies have also generated broad #prosperity so far. We'll see what a democracy is worth when it no longer involves prosperity.",#Democracies have generated broad #prosperity so far. What a democracy is worth when it no longer means prosperity is something we will see.,#democracies have generated broad #prosperity so far. We will see what a democracy is worth when it no longer provides prosperity.,Democracies have so far generated widespread prosperity. We shall see what a democracy is worth when it no longer entails prosperity.,0.4617,0.608,0.3814,0.685,0.7851,0.6,0.7732,0.7961,0.7582,0.9077,0.9176,0.8951
374,I'm still sitting on about 200 euros of unprocessed tickets from the last #warning strike.,I'm still sitting on about 200 euros worth of unprocessed tickets from the last #warningstrike.,I still have about 200 euros worth of unprocessed tickets from the last #warning strike.,I still have about 200 euros worth of unprocessed tickets from the last #warningstrike.,0.7277,0.6158,0.4315,0.8651,0.7938,0.6621,0.8708,0.8408,0.8168,0.8724,0.8868,0.8396
380,1. General,General,General Information,General Information,0.0241,0.0907,0.0907,0.2632,0.25,0.25,0.622,0.572,0.572,0.8792,0.8446,0.8446
382,"The enemy is represented by slowly moving tracked vehicles and fast super tanks, in addition to speedy rockets that become harder and harder to hit as the game progresses. UFOs also appear at periodic intervals. They cannot attack the player's tank, but the player can obtain a high score by shooting a UFO. The BATTLEZONE device has five (5) different operating modes. They are the attraction mode, game intro mode, playing mode, initial setup for maximum results, and the self-test mode. The last operating mode has a special process for testing the operating elements and the computer function.","The opponent is represented by slow-moving tracked vehicles and fast super-tanks, as well as nimble missiles that become increasingly difficult to hit during extended gameplay. Additionally, UFOs appear at periodic intervals. These cannot attack the player's tank. Conversely, the player can achieve a high score by hitting a UFO. The BATTLEZONE device has five (5) different operating modes. These are the attract mode sequence, the game introduction sequence, the game sequence, the initials entry for high scores, and the self-test sequence. The latter operating mode represents a special sequence for checking the controls and the computer function.","The opponent is represented by slow-moving tracked vehicles, fast super-tanks, and nimble missiles that become increasingly difficult to hit during extended gameplay. Additionally, UFOs appear at periodic intervals but cannot attack the player's tank; conversely, the player can achieve a high score by hitting a UFO. BATTLEZONE has five operating modes: attract, game introduction, gameplay, initials entry for high scores, and self-test; the last is a special mode for checking the controls and computer functions.","The opponent is represented by slow-moving tracked vehicles, fast super-tanks, and nimble missiles that become increasingly difficult to hit during extended gameplay. Additionally, UFOs appear periodically; they cannot attack the player's tank, but the player can achieve a high score by hitting one. The BATTLEZONE device has five (5) different operating modes: attract mode, game introduction, gameplay, high score initials entry, and self-test. The self-test mode is a special sequence for checking the controls and computer functions.",0.359,0.1595,0.2781,0.5612,0.3897,0.4157,0.6722,0.6649,0.6731,0.7856,0.8078,0.8195
